iter	RMSE
285	0.3649394372
286	0.3648701328
287	0.364817483
288	0.3647738589
289	0.3646841484
290	0.3645533057
291	0.3645010975
292	0.3644478283
293	0.3643961086
294	0.3643400755
295	0.3642932782
296	0.3642564574
297	0.364210973
298	0.3641719543
299	0.3641063596
300	0.3640611324
301	0.3640210734
302	0.3639504311
303	0.3639050048
304	0.3638642156
305	0.3638011337
306	0.3637587052
307	0.3636510619
308	0.3636018237
309	0.3634790924
310	0.3634058383
311	0.3633476185
312	0.3632950282
313	0.3632244454
314	0.3631661812
315	0.3631199245
316	0.3630071602
317	0.362931149
318	0.3628765541
319	0.3627681784
320	0.3627226385
321	0.3626805059
322	0.362645372
323	0.3625653673
324	0.3625075419
325	0.3624679827
326	0.3624186644
327	0.3623321521
328	0.3622670303
329	0.3622376414
330	0.362168699
331	0.3620507864
332	0.3620172206
333	0.3619821196
334	0.3619215645
335	0.3618610415
336	0.3617732705
337	0.3617285174
338	0.3616856684
339	0.3615467272
340	0.3614907717
341	0.3614370242
342	0.36139292
343	0.3613385612
344	0.3612696107
345	0.3612007457
346	0.361152169
347	0.3611010842
348	0.3610697587
349	0.3610174269
350	0.3609721823
351	0.3609176253
352	0.3608173766
353	0.3607431937
354	0.3606841919
355	0.3606373415
356	0.3605939308
357	0.3605350944
358	0.360497963
359	0.3604142477
360	0.3603384471
361	0.3603043368
362	0.3602427478
363	0.3601850299
364	0.3601418578
365	0.3600783297
366	0.3600424821
367	0.3599998974
368	0.3599568389
369	0.3598872055
370	0.359847947
371	0.3597947421
372	0.3597613781
373	0.3597308761
374	0.3596990189
375	0.3596235511
376	0.3595523635
377	0.3595002149
378	0.3594644993
379	0.3594247497
380	0.359387834
381	0.3593451555
382	0.3592932396
383	0.3592465389
384	0.3591925015
385	0.3591265853
386	0.359083136
387	0.3590335574
388	0.3589715618
389	0.3589298532
390	0.3588640813
391	0.358770661
392	0.3587433674
393	0.3587190412
394	0.3586509739
395	0.3585922755
396	0.3585441141
397	0.358470257
398	0.3584243091
399	0.3583711678
400	0.358322258
401	0.3582853971
402	0.3582103284
403	0.3581637037
404	0.3581086495
405	0.3580724013
406	0.3580435566
407	0.3579894802
408	0.3579452578
409	0.3578792003
410	0.3578396211
411	0.3577777102
412	0.3577475822
413	0.3576645899
414	0.3576159341
415	0.3575744081
416	0.3575179765
417	0.3574734768
418	0.3574278463
419	0.3573859679
420	0.3572909992
421	0.3572310295
422	0.3571716823
423	0.357118932
424	0.3570642112
425	0.3570293672
426	0.3569682481
427	0.3569377823
428	0.3569011728
429	0.3568568606
430	0.3568089136
431	0.3567469488
432	0.3566786102
433	0.3566455706
434	0.356590291
435	0.3565656067
436	0.3565317155
437	0.3564774293
438	0.3564222346
439	0.3563760369
440	0.356289414
441	0.3562546058
442	0.3562092108
443	0.3561542217
444	0.3561028679
445	0.3560728992
446	0.3559537377
447	0.3559389644
448	0.3559074226
449	0.3558648124
450	0.3558009519
451	0.3557586112
452	0.3557285591
453	0.3556980685
454	0.3556802543
455	0.3556461225
456	0.3556103186
457	0.3555623705
458	0.3555151489
459	0.3554619394
460	0.3554284209
461	0.3553985177
462	0.3553291345
463	0.3552827478
464	0.3552017133
465	0.3551719869
466	0.3550643599
467	0.3550151456
468	0.3549604414
469	0.3549082357
470	0.3548653673
471	0.3548025242
472	0.3547415106
473	0.3546841313
474	0.3546507709
475	0.3545785767
476	0.354536393
477	0.3544986698
478	0.3544578393
479	0.3544218717
480	0.35437267
481	0.3543436595
482	0.3542757078
483	0.3542040377
484	0.354166466
485	0.3540882922
486	0.3540531181
487	0.3540028839
488	0.3539417209
489	0.3539013854
490	0.3538506029
491	0.35381588
492	0.3537574166
493	0.3537181481
494	0.3536756611
495	0.3536423348
496	0.353595811
497	0.353543065
498	0.3535068241
499	0.3534456239
500	0.3534190484
501	0.3533687185
502	0.3533201368
503	0.3532640701
504	0.353203937
505	0.353149594
506	0.353080115
507	0.3530539063
508	0.3530034724
509	0.3529600133
510	0.3529375936
511	0.352876966
512	0.3528236779
513	0.352766866
514	0.3527184674
515	0.3526637279
516	0.352632458
517	0.3525818168
518	0.352533656
519	0.3524697581
520	0.3524230367
521	0.3523809445
522	0.3523220362
523	0.3522670932
524	0.3522034196
525	0.3521738415
526	0.3521100538
527	0.3520668374
528	0.3520023218
529	0.3519531432
530	0.3518980734
531	0.3518653224
532	0.3518077476
533	0.3517626
534	0.3517233553
535	0.3516669316
536	0.3516215945
537	0.3515920935
538	0.3515518239
539	0.3514929469
540	0.3514435002
541	0.3514023111
542	0.3513609285
543	0.3513079467
544	0.3512818061
545	0.3512332963
546	0.3511985957
547	0.3511587014
548	0.3510942076
549	0.3510461569
550	0.3509958191
551	0.3509645764
552	0.350934478
553	0.3508942445
554	0.3508710714
555	0.350812633
556	0.3507519046
557	0.3507289723
558	0.3506887124
559	0.3506582253
560	0.3506176216
561	0.3505802172
562	0.3505505073
563	0.3505140513
564	0.3504754285
565	0.3504108618
566	0.3503680142
567	0.3503286151
568	0.350295793
569	0.3502449451
570	0.3501819637
571	0.3501474412
572	0.350118168
573	0.3500692955
574	0.3500272255
575	0.3499971043
576	0.3499563311
577	0.3499140197
578	0.3498599946
579	0.3498094243
580	0.3497691421
581	0.3497189125
582	0.34967647
583	0.3496207378
584	0.3495534034
585	0.3495194564
586	0.3494818966
587	0.3494300573
588	0.3493836277
589	0.3493676001
590	0.349339282
591	0.3492750458
592	0.3492149743
593	0.3491652521
594	0.3491219618
595	0.3490848324
596	0.3490605403
597	0.3490259214
598	0.3489755023
599	0.3489293648
600	0.3489001954
601	0.3488539016
602	0.3487793257
603	0.3487478221
604	0.3487158612
605	0.3486602831
606	0.3486294203
607	0.3485887892
608	0.3485501676
609	0.3484824619
610	0.3484234934
611	0.3483840318
612	0.3483429405
613	0.348281855
614	0.3482471054
615	0.3482069466
616	0.3481528128
617	0.3480919471
618	0.348051481
619	0.3479971097
620	0.3479472042
621	0.3479093858
622	0.3478729737
623	0.3478301824
624	0.3477934884
625	0.3477646744
626	0.3477047066
627	0.3476587846
628	0.3476187487
629	0.347575475
630	0.3475321073
631	0.3474923842
632	0.3474524852
633	0.3474154852
634	0.3473715593
635	0.3473247938
636	0.3472573828
637	0.3472398199
638	0.3472095393
639	0.3471727345
640	0.3471341129
641	0.3471122075
642	0.3470854011
643	0.3470313456
644	0.3469809187
645	0.3469427373
646	0.3468838887
647	0.3468433033
648	0.3467931234
649	0.3467327581
650	0.3467101682
651	0.3466737023
652	0.346640842
653	0.3465471839
654	0.3464956467
655	0.3464534173
656	0.3463955948
657	0.3463468408
658	0.3463159118
659	0.3462663105
660	0.34620893
661	0.3461832946
662	0.3461540994
663	0.3461122442
664	0.3460641535
665	0.3460231374
666	0.3459792921
667	0.3459474903
668	0.345918438
669	0.3458701602
670	0.3458056225
671	0.3457718653
672	0.3457200228
673	0.3456663367
674	0.3456345698
675	0.3456148726
676	0.3455874583
677	0.3455357035
678	0.3454823347
679	0.3454518447
680	0.3454377184
681	0.3453832948
682	0.3453330945
683	0.3452788575
684	0.3452471843
685	0.3451973484
686	0.3451501573
687	0.3451140816
688	0.3450865017
689	0.3450487181
690	0.3450110957
691	0.3449610348
692	0.3449194235
693	0.3448852354
694	0.3448319107
695	0.3447959777
696	0.3447536763
697	0.3447282148
698	0.3446784185
699	0.3446436655
700	0.344603019
701	0.3445592925
702	0.3445233645
703	0.3444886622
704	0.3444526482
705	0.3443956026
706	0.3443584766
707	0.3443131977
708	0.3442679187
709	0.3442173834
710	0.3441897365
711	0.3441448194
712	0.3441151133
713	0.3440755542
714	0.3440478487
715	0.3439977001
716	0.3439606691
717	0.3439032457
718	0.3438697593
719	0.3438317659
720	0.3437852431
721	0.3437568581
722	0.3437261437
723	0.3436982774
724	0.3436695275
725	0.3436192219
726	0.34356881
727	0.3435239756
728	0.3434962754
729	0.3434501358
730	0.3434196011
731	0.3433791328
732	0.3433438922
733	0.3432430624
734	0.3431990852
735	0.3431585559
736	0.3431027535
737	0.3430452125
738	0.3430178259
739	0.3429662798
740	0.3429205135
741	0.3428831718
742	0.3428417107
743	0.342781827
744	0.342724779
745	0.3426924008
746	0.3426559757
747	0.3425955633
748	0.3425631794
749	0.3425290709
750	0.3424824473
751	0.3424543534
752	0.3424069666
753	0.3423888922
754	0.3423483443
755	0.3423167154
756	0.3422882125
757	0.3422398318
758	0.3422149966
759	0.3421796455
760	0.3421556072
761	0.3421311466
762	0.3420861906
763	0.3420565742
764	0.3420044289
765	0.3419645462
766	0.3419245114
767	0.3418657121
768	0.3418417971
769	0.3418058891
770	0.3417741663
771	0.3417430737
772	0.341704628
773	0.3416627135
774	0.3415949312
775	0.3415565602
776	0.3415148935
777	0.3414741107
778	0.3414475275
779	0.3414159376
780	0.3413832129
781	0.3413446185
782	0.341316021
783	0.3412476971
784	0.341205616
785	0.3411722191
786	0.3411192907
787	0.341073947
788	0.3410318663
789	0.3410025089
790	0.3409757386
791	0.3409374231
792	0.3409006264
793	0.3408366832
794	0.3408219024
795	0.3407823608
796	0.3407585205
797	0.3407147886
798	0.3406814536
799	0.3406574587
800	0.3406020384
801	0.3405215654
802	0.3404934454
803	0.3404488592
804	0.3403695497
805	0.3403334272
806	0.3403084498
807	0.3402762611
808	0.340239115
809	0.340214395
810	0.3401775081
811	0.3401403418
812	0.3401018639
813	0.3400608141
814	0.3400199873
815	0.3399845473
816	0.3399449356
817	0.339903491
818	0.3398528173
819	0.33982884
820	0.3397935458
821	0.3397303688
822	0.3396700537
823	0.3396241099
824	0.3396018405
825	0.3395538674
826	0.3395114115
827	0.3394721533
828	0.3394319317
829	0.3394053383
830	0.3393458247
831	0.3393103363
832	0.3392799781
833	0.3392282844
834	0.3392108777
835	0.3391790442
836	0.3391390021
837	0.3390990647
838	0.3390824658
839	0.3390483524
840	0.3390181119
841	0.3389745771
842	0.3389391383
843	0.3389107658
844	0.3388544672
845	0.338812603
846	0.3387571332
847	0.3387215962
848	0.3386743871
849	0.3386220368
850	0.3385960531
851	0.3385730719
852	0.3385439114
853	0.3384972364
854	0.3384662764
855	0.3384360892
856	0.3383946072
857	0.3383744353
858	0.338329619
859	0.3383045026
860	0.3382663143
861	0.3382242341
862	0.3381860319
863	0.3381602262
864	0.3381215749
865	0.3380777937
866	0.3380478968
867	0.3380116812
868	0.3379531776
869	0.3379207226
870	0.33788798
871	0.33785628
872	0.3378130723
873	0.3377841323
874	0.3377495968
875	0.3377090015
876	0.3376815552
877	0.3376226978
878	0.3376028525
879	0.3375800849
880	0.3375582204
881	0.3375252134
882	0.337470891
883	0.3374520494
884	0.3374300435
885	0.3373862907
886	0.3373536066
887	0.3373357992
888	0.3372963674
889	0.3372676587
890	0.3372385051
891	0.3371961255
892	0.3371338182
893	0.3370952991
894	0.3370717522
895	0.3370415566
896	0.3370082975
897	0.3369643201
898	0.3369141016
899	0.3368923261
900	0.3368610896
901	0.3368141442
902	0.3367715027
903	0.3367398076
904	0.3366984822
905	0.3366757628
906	0.3366513734
907	0.3366067112
908	0.3365626493
909	0.3365386054
910	0.3365034513
911	0.3364645488
912	0.3363905568
913	0.3363343933
914	0.3362871304
915	0.3362443306
916	0.3361938515
917	0.3361651476
918	0.3361468184
919	0.3361279567
920	0.3360998379
921	0.3360899922
922	0.3360508797
923	0.3360146376
924	0.3359845466
925	0.3359335042
926	0.3359007861
927	0.3358528227
928	0.3358286861
929	0.3358066977
930	0.3357666229
931	0.3357147915
932	0.33566063
933	0.3356181396
934	0.3356020713
935	0.3355731534
936	0.3355134677
937	0.3354709724
938	0.3354296613
939	0.3353729307
940	0.3353233289
941	0.3352911504
942	0.3352477832
943	0.3352278172
944	0.3351659292
945	0.3351376384
946	0.3351148774
947	0.3351022248
948	0.3350715957
949	0.3350354327
950	0.3350065763
951	0.3349678214
952	0.3349399398
953	0.3348926087
954	0.3348677849
955	0.3348262301
956	0.3348041336
957	0.3347625037
958	0.3347303261
959	0.334710498
960	0.3346848139
961	0.3346457409
962	0.3346173923
963	0.3345916771
964	0.3345656926
965	0.3345486902
966	0.3345220607
967	0.3344721651
968	0.3344302359
969	0.3343994687
970	0.3343603463
971	0.3343139673
972	0.3342785789
973	0.3342423439
974	0.3341965858
975	0.3341592369
976	0.3341308524
977	0.334100441
978	0.3340878272
979	0.3340313991
980	0.3340026393
981	0.3339676451
982	0.3339411582
983	0.3339237088
984	0.3338895381
985	0.3338482845
986	0.3338260383
987	0.3337938434
988	0.3337582879
989	0.3337289537
990	0.3336845323
991	0.3336447878
992	0.3335960298
993	0.3335691976
994	0.3335398418
995	0.3335001424
996	0.3334625595
997	0.3334152785
998	0.3333725158
999	0.3333399037
