iter	Passed	Remaining
417	2373	3304
418	2378	3297
419	2383	3291
420	2389	3286
421	2393	3278
422	2399	3272
423	2404	3266
424	2409	3259
425	2414	3253
426	2419	3246
427	2423	3239
428	2429	3233
429	2434	3227
430	2439	3220
431	2443	3213
432	2448	3206
433	2453	3199
434	2458	3192
435	2463	3186
436	2468	3179
437	2472	3173
438	2478	3166
439	2482	3159
440	2488	3153
441	2493	3147
442	2498	3141
443	2503	3134
444	2508	3128
445	2513	3122
446	2518	3115
447	2523	3108
448	2528	3102
449	2533	3096
450	2537	3089
451	2542	3082
452	2547	3076
453	2552	3070
454	2557	3063
455	2563	3057
456	2567	3051
457	2572	3044
458	2577	3038
459	2582	3031
460	2586	3024
461	2591	3018
462	2597	3012
463	2602	3006
464	2606	2999
465	2611	2992
466	2616	2986
467	2621	2980
468	2627	2974
469	2632	2968
470	2636	2961
471	2641	2954
472	2646	2948
473	2650	2941
474	2656	2935
475	2662	2931
476	2668	2925
477	2676	2923
478	2681	2917
479	2686	2910
480	2692	2904
481	2697	2899
482	2703	2893
483	2708	2887
484	2713	2881
485	2718	2874
486	2723	2868
487	2728	2862
488	2733	2856
489	2738	2850
490	2743	2844
491	2748	2837
492	2753	2831
493	2758	2825
494	2763	2819
495	2769	2813
496	2774	2807
497	2778	2800
498	2783	2794
499	2788	2788
500	2793	2781
501	2797	2775
502	2803	2770
503	2808	2763
504	2813	2757
505	2818	2751
506	2823	2745
507	2828	2738
508	2833	2733
509	2838	2727
510	2843	2721
511	2848	2714
512	2853	2708
513	2858	2702
514	2862	2696
515	2867	2689
516	2872	2683
517	2877	2677
518	2882	2671
519	2887	2664
520	2891	2658
521	2896	2652
522	2901	2646
523	2906	2640
524	2912	2634
525	2917	2628
526	2921	2622
527	2926	2615
528	2930	2609
529	2935	2603
530	2940	2597
531	2945	2591
532	2950	2585
533	2955	2579
534	2960	2573
535	2965	2567
536	2970	2560
537	2974	2554
538	2980	2548
539	2997	2553
540	3002	2547
541	3007	2541
542	3012	2535
543	3018	2530
544	3023	2523
545	3027	2517
546	3033	2511
547	3037	2505
548	3042	2499
549	3047	2493
550	3052	2487
551	3057	2481
552	3063	2475
553	3068	2470
554	3073	2464
555	3078	2458
556	3083	2452
557	3088	2446
558	3093	2440
559	3098	2434
560	3103	2428
561	3109	2423
562	3113	2417
563	3118	2410
564	3122	2404
565	3128	2398
566	3133	2392
567	3137	2386
568	3142	2380
569	3147	2374
570	3151	2368
571	3157	2362
572	3163	2357
573	3171	2353
574	3178	2349
575	3185	2344
576	3193	2341
577	3200	2336
578	3208	2332
579	3214	2327
580	3221	2323
581	3229	2319
582	3236	2315
583	3244	2311
584	3251	2306
585	3260	2303
586	3267	2298
587	3274	2294
588	3282	2290
589	3290	2286
590	3297	2282
591	3304	2277
592	3310	2272
593	3317	2267
594	3324	2263
595	3331	2258
596	3339	2254
597	3346	2249
598	3354	2245
599	3361	2240
600	3368	2236
601	3375	2231
602	3382	2226
603	3389	2222
604	3396	2217
605	3403	2212
606	3410	2208
607	3417	2203
608	3424	2198
609	3432	2194
610	3438	2189
611	3446	2184
612	3454	2181
613	3461	2175
614	3468	2171
615	3475	2166
616	3483	2162
617	3490	2157
618	3498	2153
619	3505	2148
620	3513	2144
621	3521	2139
622	3529	2135
623	3537	2131
624	3545	2127
625	3553	2123
626	3562	2119
627	3572	2116
628	3579	2111
629	3587	2107
630	3595	2102
631	3603	2098
632	3610	2093
633	3618	2088
634	3625	2084
635	3632	2079
636	3638	2073
637	3646	2069
638	3654	2064
639	3661	2059
640	3668	2054
641	3676	2050
642	3684	2045
643	3692	2041
644	3699	2036
645	3706	2030
646	3712	2025
647	3719	2020
648	3726	2015
649	3732	2010
650	3739	2004
651	3746	1999
652	3753	1994
653	3760	1989
654	3766	1983
655	3772	1978
656	3779	1973
657	3786	1967
658	3793	1962
659	3801	1958
660	3807	1952
661	3815	1947
662	3822	1942
663	3828	1937
664	3835	1932
665	3842	1927
666	3849	1921
667	3856	1916
668	3862	1911
669	3869	1905
670	3875	1900
671	3882	1894
672	3888	1889
673	3895	1884
674	3902	1878
675	3910	1874
676	3916	1868
677	3924	1863
678	3930	1858
679	3937	1853
680	3944	1847
681	3951	1842
682	3957	1836
683	3963	1831
684	3970	1825
685	3976	1820
686	3983	1814
687	3990	1809
688	3997	1804
689	4004	1799
690	4010	1793
691	4018	1788
692	4024	1783
693	4031	1777
694	4037	1771
695	4043	1765
696	4049	1760
697	4056	1754
698	4061	1749
699	4068	1743
700	4075	1738
701	4081	1732
702	4088	1727
703	4094	1721
704	4102	1716
705	4108	1711
706	4115	1705
707	4121	1699
708	4127	1694
709	4135	1689
710	4141	1683
711	4148	1677
712	4153	1672
713	4160	1666
714	4167	1661
715	4173	1655
716	4179	1649
717	4185	1643
718	4191	1638
719	4198	1632
720	4205	1627
721	4213	1622
722	4220	1616
723	4227	1611
724	4234	1606
725	4240	1600
726	4247	1595
727	4254	1589
728	4262	1584
729	4269	1578
730	4276	1573
731	4282	1567
732	4289	1562
733	4296	1557
734	4304	1551
735	4311	1546
736	4318	1541
737	4325	1535
738	4332	1530
739	4340	1524
740	4346	1519
741	4353	1513
742	4361	1508
743	4368	1502
744	4374	1497
745	4380	1491
746	4387	1485
747	4395	1480
748	4402	1475
749	4409	1469
750	4414	1463
751	4421	1458
752	4427	1452
753	4433	1446
754	4440	1441
755	4446	1435
756	4452	1429
757	4459	1423
758	4464	1417
759	4470	1411
760	4476	1405
761	4481	1399
762	4488	1394
763	4494	1388
764	4500	1382
765	4507	1377
766	4513	1370
767	4518	1364
768	4524	1359
769	4530	1353
770	4537	1347
771	4543	1341
772	4548	1335
773	4555	1330
774	4560	1324
775	4568	1318
776	4573	1312
777	4579	1306
778	4588	1301
779	4594	1295
780	4601	1290
781	4609	1285
782	4616	1279
783	4623	1273
784	4630	1268
785	4637	1262
786	4643	1256
787	4651	1251
788	4658	1245
789	4666	1240
790	4672	1234
791	4679	1229
792	4687	1223
793	4694	1217
794	4702	1212
795	4709	1207
796	4717	1201
797	4724	1196
798	4735	1191
799	4743	1185
800	4751	1180
801	4758	1174
802	4766	1169
803	4773	1163
804	4780	1157
805	4787	1152
806	4795	1146
807	4802	1141
808	4809	1135
809	4816	1129
810	4823	1124
811	4831	1118
812	4837	1112
813	4845	1107
814	4853	1101
815	4861	1096
816	4868	1090
817	4875	1084
818	4884	1079
819	4892	1074
820	4901	1068
821	4910	1063
822	4917	1057
823	4925	1052
824	4933	1046
825	4941	1040
826	4950	1035
827	4959	1030
828	4966	1024
829	4974	1018
830	4980	1012
831	4989	1007
832	4997	1001
833	5006	996
834	5016	991
835	5025	985
836	5033	980
837	5043	974
838	5051	969
839	5061	964
840	5069	958
841	5077	952
842	5085	947
843	5093	941
844	5101	935
845	5110	930
846	5118	924
847	5127	919
848	5135	913
849	5144	907
850	5153	902
851	5161	896
852	5171	891
853	5179	885
854	5187	879
855	5195	873
856	5203	868
857	5211	862
858	5219	856
859	5227	851
860	5236	845
861	5244	839
862	5253	834
863	5261	828
864	5269	822
865	5276	816
866	5284	810
867	5292	804
868	5301	799
869	5308	793
870	5316	787
871	5323	781
872	5332	775
873	5339	769
874	5347	763
875	5355	758
876	5362	752
877	5369	746
878	5376	740
879	5383	734
880	5390	728
881	5397	722
882	5404	716
883	5411	710
884	5419	704
885	5425	698
886	5432	692
887	5440	686
888	5447	680
889	5455	674
890	5463	668
891	5470	662
892	5478	656
893	5485	650
894	5492	644
895	5500	638
896	5508	632
897	5516	626
898	5524	620
899	5533	614
900	5541	608
901	5549	602
902	5556	596
903	5564	590
904	5571	584
905	5580	579
906	5588	573
907	5596	567
908	5603	560
909	5610	554
910	5617	548
911	5624	542
912	5631	536
913	5638	530
914	5646	524
915	5652	518
916	5658	512
917	5663	505
918	5669	499
919	5676	493
920	5682	487
921	5689	481
922	5695	475
923	5701	468
924	5707	462
925	5713	456
926	5719	450
927	5724	444
928	5730	437
929	5737	431
930	5744	425
931	5751	419
932	5758	413
933	5763	407
934	5771	401
935	5777	395
936	5783	388
937	5789	382
938	5796	376
939	5803	370
940	5808	364
941	5815	358
942	5823	352
943	5831	345
944	5838	339
945	5844	333
946	5850	327
947	5857	321
948	5864	315
949	5871	309
950	5878	302
951	5885	296
952	5892	290
953	5898	284
954	5904	278
955	5912	272
956	5919	265
957	5925	259
958	5932	253
959	5939	247
960	5945	241
961	5952	235
962	5959	228
963	5966	222
964	5974	216
965	5980	210
966	5986	204
967	5991	198
968	5997	191
969	6003	185
970	6010	179
971	6016	173
972	6023	167
973	6031	161
974	6037	154
975	6045	148
976	6052	142
977	6058	136
978	6065	130
979	6070	123
980	6077	117
981	6082	111
982	6088	105
983	6095	99
984	6100	92
985	6106	86
986	6113	80
987	6121	74
988	6127	68
989	6134	61
990	6141	55
991	6147	49
992	6152	43
993	6160	37
994	6166	30
995	6173	24
996	6180	18
997	6186	12
998	6194	6
999	6200	0
